"Time","Path","Threat"
"2026/9/10 23:11:26","C:\Windows\di1ArqDqU.bat ",""
"2026/9/10 23:11:29","C:\Windows\DLfqvV8.bat ",""
"2026/9/10 23:11:32","C:\Windows\DPZBOMxaE.bat ",""
"2026/9/10 23:11:36","C:\Windows\DVvt.bat ",""
"2026/9/10 23:11:39","C:\Windows\dZSn.bat ",""
"2026/9/10 23:11:43","C:\Windows\eC1C8awiO.bat ",""
"2026/9/10 23:11:46","C:\Windows\EcFN8z1Lg.bat ",""
"2026/9/10 23:11:49","C:\Windows\ecKwGUCn.bat ",""
"2026/9/10 23:11:53","C:\Windows\eE8imIMM.bat ",""
"2026/9/10 23:11:56","C:\Windows\ehLkNgzPd.bat ",""
"2026/9/10 23:12:00","C:\Windows\eqhj1X8.bat ",""
"2026/9/10 23:12:03","C:\Windows\eZM9h.bat ",""
"2026/9/10 23:12:07","C:\Windows\F9sIK.bat ",""
"2026/9/10 23:12:10","C:\Windows\fBvqbHtNP9.bat ",""
"2026/9/10 23:12:13","C:\Windows\FDn1.bat ",""
"2026/9/10 23:12:17","C:\Windows\FGsLtBhYB.bat ",""
"2026/9/10 23:12:20","C:\Windows\fMeh.bat ",""
"2026/9/10 23:12:24","C:\Windows\FmvsWR.bat ",""
"2026/9/10 23:12:27","C:\Windows\foqK1dnyr.bat ",""
"2026/9/10 23:12:31","C:\Windows\fRoWQQRX.bat ",""
"2026/9/10 23:12:34","C:\Windows\fTbL.bat ",""
"2026/9/10 23:12:37","C:\Windows\FTRb.bat ",""
"2026/9/10 23:12:41","C:\Windows\GFdevQZu.bat ",""
"2026/9/10 23:12:44","C:\Windows\gJRQ.bat ",""
"2026/9/10 23:12:48","C:\Windows\Gqe8CJ.bat ",""
"2026/9/10 23:12:51","C:\Windows\GSLyRIDQbr.bat ",""
"2026/9/10 23:12:55","C:\Windows\GVxCeMULP1.bat ",""
"2026/9/10 23:12:58","C:\Windows\h8fFOORoq.bat ",""
"2026/9/10 23:13:01","C:\Windows\HCXrbmCP.bat ",""
"2026/9/10 23:13:05","C:\Windows\hd8m9.bat ",""
"2026/9/10 23:13:08","C:\Windows\hhqlxbi.bat ",""
"2026/9/10 23:13:12","C:\Windows\Hj9ssymE.bat ",""
"2026/9/10 23:13:15","C:\Windows\hLuyRaPCAd.bat ",""
"2026/9/10 23:13:19","C:\Windows\HPbz1IQEd.bat ",""
"2026/9/10 23:13:22","C:\Windows\HPdIalh8GW.bat ",""
"2026/9/10 23:13:25","C:\Windows\Hrs8X8.bat ",""
"2026/9/10 23:13:29","C:\Windows\hRVzdFyza.bat ",""
"2026/9/10 23:13:32","C:\Windows\HXHSjI9QC.bat ",""
"2026/9/10 23:13:36","C:\Windows\Hyo1.bat ",""
"2026/9/10 23:13:39","C:\Windows\icJWCAbLAx.bat ",""
"2026/9/10 23:13:43","C:\Windows\IDjnhy.bat ",""
"2026/9/10 23:13:46","C:\Windows\IkJuf.bat ",""
"2026/9/10 23:13:49","C:\Windows\IMA1yAT8.bat ",""
"2026/9/10 23:13:53","C:\Windows\IsIF.bat ",""
"2026/9/10 23:13:56","C:\Windows\IT8EYyCAH1.bat ",""
"2026/9/10 23:14:00","C:\Windows\iTCTBCRQ.bat ",""
"2026/9/10 23:14:03","C:\Windows\IwDWjx.bat ",""
"2026/9/10 23:14:07","C:\Windows\jJZtZxGaJ.bat ",""
"2026/9/10 23:14:10","C:\Windows\jNHZ9DjGTu.bat ",""
"2026/9/10 23:14:13","C:\Windows\jUtbIhKj.bat ",""
"2026/9/10 23:14:17","C:\Windows\JVAbpop.bat ",""
"2026/9/10 23:14:20","C:\Windows\jwBgNTrpFJ.bat ",""
"2026/9/10 23:14:24","C:\Windows\JyfZmXUI.bat ",""
"2026/9/10 23:14:27","C:\Windows\KAgrtmz.bat ",""
"2026/9/10 23:14:31","C:\Windows\kANrt9AJ.bat ",""
"2026/9/10 23:14:34","C:\Windows\KEsQ.bat ",""
"2026/9/10 23:14:37","C:\Windows\kJuMVrhc.bat ",""
"2026/9/10 23:14:41","C:\Windows\KLkE8.bat ",""
"2026/9/10 23:14:44","C:\Windows\kNmS.bat ",""
"2026/9/10 23:14:48","C:\Windows\kRQz.bat ",""
"2026/9/10 23:14:51","C:\Windows\kt9XngHKKK.bat ",""
"2026/9/10 23:14:55","C:\Windows\KVPoFHl.bat ",""
"2026/9/10 23:14:58","C:\Windows\kxxaJ.bat ",""
"2026/9/10 23:15:01","C:\Windows\lDeSO.bat ",""
"2026/9/10 23:15:05","C:\Windows\llRJf.bat ",""
"2026/9/10 23:15:08","C:\Windows\LQMS.bat ",""
"2026/9/10 23:15:12","C:\Windows\LruWSR.bat ",""
"2026/9/10 23:15:15","C:\Windows\LUNl.bat ",""
"2026/9/10 23:15:18","C:\Windows\MaSRmrkM.bat ",""
"2026/9/10 23:15:22","C:\Windows\MhRahjf.bat ",""
"2026/9/10 23:15:25","C:\Windows\MhV1jHoko.bat ",""
"2026/9/10 23:15:29","C:\Windows\mKjBkM.bat ",""
"2026/9/10 23:15:32","C:\Windows\mlKGfEqV.bat ",""
"2026/9/10 23:15:36","C:\Windows\MPhhp.bat ",""
"2026/9/10 23:15:40","C:\Windows\mTiTuON.bat ",""
"2026/9/10 23:15:43","C:\Windows\mZnfZ8RFC.bat ",""
"2026/9/10 23:15:47","C:\Windows\nAiVg8fPGN.bat ",""
"2026/9/10 23:15:50","C:\Windows\NIMkM.bat ",""
"2026/9/10 23:15:54","C:\Windows\NJWYAlqKVF.bat ",""
"2026/9/10 23:15:57","C:\Windows\ntYG.bat ",""
"2026/9/10 23:16:00","C:\Windows\NXCw8YT.bat ",""
"2026/9/10 23:16:04","C:\Windows\oHEJYhsNf.bat ",""
"2026/9/10 23:16:07","C:\Windows\ojsyQquKW.bat ",""
"2026/9/10 23:16:11","C:\Windows\OqMzE.bat ",""
"2026/9/10 23:16:14","C:\Windows\p8XRQH.bat ",""
"2026/9/10 23:16:18","C:\Windows\Pgobuj.bat ",""
"2026/9/10 23:16:21","C:\Windows\ph8xFwZ.bat ",""
"2026/9/10 23:16:25","C:\Windows\PIwN1Cm.bat ",""
"2026/9/10 23:16:28","C:\Windows\PlhkD9.bat ",""
"2026/9/10 23:16:32","C:\Windows\ppQtHgFak.bat ",""
"2026/9/10 23:16:35","C:\Windows\PSyzZ1OBD.bat ",""
"2026/9/10 23:16:39","C:\Windows\PvxGv.bat ",""
"2026/9/10 23:16:42","C:\Windows\Q9r8jsh.bat ",""
"2026/9/10 23:16:46","C:\Windows\qiIZ.bat ",""
"2026/9/10 23:16:49","C:\Windows\QjqG8.bat ",""
"2026/9/10 23:16:53","C:\Windows\QkLOipba.bat ",""
"2026/9/10 23:16:56","C:\Windows\qM9ZZhhYb.bat ",""
"2026/9/10 23:17:00","C:\Windows\qpbN.bat ",""
"2026/9/10 23:17:03","C:\Windows\qpdTa.bat ",""
"2026/9/10 23:17:06","C:\Windows\QShs.bat ",""
"2026/9/10 23:17:10","C:\Windows\qSRyFKRE.bat ",""
"2026/9/10 23:17:13","C:\Windows\QxFWZPsuck.bat ",""
"2026/9/10 23:17:17","C:\Windows\QZtvZYUsA.bat ",""
"2026/9/10 23:17:20","C:\Windows\RHdUL.bat ",""
"2026/9/10 23:17:24","C:\Windows\RkfhhiTK.bat ",""
"2026/9/10 23:17:27","C:\Windows\RKViqPICCU.bat ",""
"2026/9/10 23:17:31","C:\Windows\RLcuqWGAx.bat ",""
"2026/9/10 23:17:35","C:\Windows\Rlo8SHy.bat ",""
"2026/9/10 23:17:38","C:\Windows\RlZG8LL.bat ",""
"2026/9/10 23:17:42","C:\Windows\RPXQel8dR.bat ",""
"2026/9/10 23:17:45","C:\Windows\ruO8DI.bat ",""
"2026/9/10 23:17:49","C:\Windows\RUs9du.bat ",""
"2026/9/10 23:17:52","C:\Windows\sfDJvx8W.bat ",""
"2026/9/10 23:17:56","C:\Windows\SiGJavIpH.bat ",""
"2026/9/10 23:17:59","C:\Windows\SisvySA.bat ",""
"2026/9/10 23:18:02","C:\Windows\SMjpaTpp.bat ",""
"2026/9/10 23:18:06","C:\Windows\SmwMYwxaUc.bat ",""
"2026/9/10 23:18:09","C:\Windows\sPGn.bat ",""
"2026/9/10 23:18:14","C:\Windows\sTO8yc1RvT.bat ",""
"2026/9/10 23:18:17","C:\Windows\SUrYGE.bat ",""
"2026/9/10 23:18:21","C:\Windows\SV8fsxCkNN.bat ",""
"2026/9/10 23:18:24","C:\Windows\SwVIOdTE.bat ",""
"2026/9/10 23:18:28","C:\Windows\sZyEkqAB.bat ",""
"2026/9/10 23:18:31","C:\Windows\TD9vwvy.bat ",""
"2026/9/10 23:18:35","C:\Windows\TdNG.bat ",""
"2026/9/10 23:18:38","C:\Windows\tEnbx.bat ",""
"2026/9/10 23:18:42","C:\Windows\Tfr1hZ.bat ",""
"2026/9/10 23:18:45","C:\Windows\THcOjohffF.bat ",""
"2026/9/10 23:18:48","C:\Windows\tMzw8EZ.bat ",""
"2026/9/10 23:18:52","C:\Windows\TNFx.bat ",""
"2026/9/10 23:18:55","C:\Windows\toeP.bat ",""
"2026/9/10 23:18:59","C:\Windows\tPLpdV.bat ",""
"2026/9/10 23:19:02","C:\Windows\tRXume.bat ",""
"2026/9/10 23:19:06","C:\Windows\Tu1urg.bat ",""
"2026/9/10 23:19:09","C:\Windows\tvtMRp.bat ",""
"2026/9/10 23:19:13","C:\Windows\TWLxs.bat ",""
"2026/9/10 23:19:16","C:\Windows\ubqlOTMn.bat ",""
"2026/9/10 23:19:20","C:\Windows\UDEwKdhT.bat ",""
"2026/9/10 23:19:23","C:\Windows\ueoOKZ.bat ",""
"2026/9/10 23:19:26","C:\Windows\UibGyIYVP.bat ",""
"2026/9/10 23:19:30","C:\Windows\UiEIAJhH.bat ",""
"2026/9/10 23:19:33","C:\Windows\uNhUCYc.bat ",""
"2026/9/10 23:19:37","C:\Windows\UqVE.bat ",""
"2026/9/10 23:19:40","C:\Windows\uT1RL.bat ",""
"2026/9/10 23:19:44","C:\Windows\VbedgxOMt.bat ",""
"2026/9/10 23:19:47","C:\Windows\VbfEry.bat ",""
"2026/9/10 23:19:50","C:\Windows\vdhhMWjM.bat ",""
"2026/9/10 23:19:54","C:\Windows\veqThw.bat ",""
"2026/9/10 23:19:57","C:\Windows\VJaZqvt.bat ",""
"2026/9/10 23:20:01","C:\Windows\vQIgHEc.bat ",""
"2026/9/10 23:20:04","C:\Windows\VYlmfGVO.bat ",""
"2026/9/10 23:20:07","C:\Windows\Wa8UpTjL.bat ",""
"2026/9/10 23:20:11","C:\Windows\wgX8YU.bat ",""
"2026/9/10 23:20:14","C:\Windows\WqaUjJue.bat ",""
"2026/9/10 23:20:18","C:\Windows\X8ZmN.bat ",""
"2026/9/10 23:20:21","C:\Windows\xgoeiRmUeZ.bat ",""
"2026/9/10 23:20:25","C:\Windows\xN8I.bat ",""
"2026/9/10 23:20:28","C:\Windows\Xobojx.bat ",""
"2026/9/10 23:20:31","C:\Windows\xqaAXVz.bat ",""
"2026/9/10 23:20:35","C:\Windows\XwNlv.bat ",""
"2026/9/10 23:20:38","C:\Windows\YANzHO.bat ",""
"2026/9/10 23:20:42","C:\Windows\YrHFUpp1gq.bat ",""
"2026/9/10 23:20:45","C:\Windows\YrKUuiEAVP.bat ",""
"2026/9/10 23:20:49","C:\Windows\YVKBS.bat ",""
"2026/9/10 23:20:52","C:\Windows\zA8cIa.bat ",""
"2026/9/10 23:20:56","C:\Windows\zBXzDtDq.bat ",""
"2026/9/10 23:20:59","C:\Windows\zgSC.bat ",""
"2026/9/10 23:21:02","C:\Windows\zolcD.bat ",""
"2026/9/10 23:21:06","C:\Windows\zoRbQErWH.bat ",""
"2026/9/10 23:21:09","C:\Windows\ZoyWWFPxoM.bat ",""
"2026/9/10 23:21:13","C:\Windows\zT8C.bat ",""
"2026/9/10 23:21:16","C:\Windows\zXpvhN.bat ",""
